101110712256,南北通透，明厨明卫，次新房，有钥匙,2室1厅,87.81m²,南 北,京投银泰万科西华府,丰台,科技园区,低楼层,共21层,559,63661元/平,https://m.lianjia.com/bj/ershoufang/101110712256.html?fb_expo_id=421283541822382080,地铁,否,无,四至五环,2021-03-05,商品房,2018-01-08,普通住宅,满两年,非共有,有抵押 180万元 农业
101110683861,石景山路23号院低楼层两居室拎包入住,2室1厅,64.25m²,南 北,石景山路23号院,石景山,老山,中楼层,共5层,330,51362元/平,https://m.lianjia.com/bj/ershoufang/101110683861.html?fb_expo_id=421283541822382081,地铁,满五年,无,四至五环,2021-03-03,央产房,2009-10-20,普通住宅,满五年,非共有,无抵押
101110481070,新安里 精装修 一居室 业主诚心出售,1室2厅,51.56m²,南 北,新安里,大兴,枣园,顶层,共6层,197,38208元/平,https://m.lianjia.com/bj/ershoufang/101110481070.html?fb_expo_id=421283541822382082,无,否,无,五至六环,2021-02-05,商品房,2016-04-29,普通住宅,满两年,非共有,无抵押
101110589925,新上北七家金色漫香苑精装三居 南北通透 采光好,3室1厅,130.49m²,南 北,金色漫香苑,昌平,北七家,中楼层,共8层,547,41919元/平,https://m.lianjia.com/bj/ershoufang/101110589925.html?fb_expo_id=421283541822382083,无,满五年,有电梯,五至六环,2021-02-24,商品房,2014-12-18,普通住宅,满五年,共有,有抵押 280万元 业主自还
101102792162,林奥嘉园2014年新小区  南北通透三居室,3室2厅,140.89m²,南 北,林奥嘉园,朝阳,奥林匹克公园,中楼层,共27层,950,67429元/平,https://m.lianjia.com/bj/ershoufang/101102792162.html?fb_expo_id=421283541822382084,无,否,有电梯,四至五环,2018-04-21,商品房,2016-11-21,普通住宅,满两年,非共有,无抵押
101109853915,京畿道南向两居，明厅，诚意出售,2室1厅,69.4m²,东南,京畿道,西城,金融街,中楼层,共6层,1170,168588元/平,https://m.lianjia.com/bj/ershoufang/101109853915.html?fb_expo_id=421283541822382085,无,否,无,二环内,2020-11-18,商品房,2017-01-04,普通住宅,满两年,非共有,无抵押
101110531613,长城国际高层精装电梯一居 满五唯一 诚心出售,1室1厅,52.73m²,西,长城国际,通州,通州北苑,高楼层,共22层,235,44567元/平,https://m.lianjia.com/bj/ershoufang/101110531613.html?fb_expo_id=421283541822382086,无,满五年,有电梯,五至六环,2021-02-20,商品房,2015-12-24,普通住宅,满五年,非共有,无抵押
101109276079,巴克摩界 南向大一室一厅 电梯房 采光好 随时可以看,1室1厅,71.74m²,南,巴克摩界,通州,果园,低楼层,共11层,273,38055元/平,https://m.lianjia.com/bj/ershoufang/101109276079.html?fb_expo_id=421283541822382087,无,满五年,有电梯,五至六环,2020-09-21,商品房,2010-04-03,普通住宅,满五年,非共有,有抵押 40万元 中国邮政储蓄银行 业主自还
101109029618,京贸国际公寓南向两居室看房方便满5唯一温泉入户,2室1厅,97.81m²,东南,京贸国际公寓,通州,通州北苑,低楼层,共22层,363,37113元/平,https://m.lianjia.com/bj/ershoufang/101109029618.html?fb_expo_id=421283541822382088,地铁,满五年,无,五至六环,2020-08-31,商品房,2014-03-07,普通住宅,满五年,非共有,无抵押
101105372992,南北通透3居室 高层采光好 板楼户型一梯两户 西城区,3室2厅,164.61m²,南 北,信德园,西城,菜户营,高楼层,共12层,1390,84443元/平,https://m.lianjia.com/bj/ershoufang/101105372992.html?fb_expo_id=421283541822382089,无,满五年,有电梯,二至三环,2019-08-03,商品房,2004-03-05,普通住宅,满五年,非共有,无抵押
101107537772,南北通透 眼镜户型 满五唯一  有钥匙,3室2厅,151.14m²,南 北,柏林爱乐一期,朝阳,常营,中楼层,共8层,818,54123元/平,https://m.lianjia.com/bj/ershoufang/101107537772.html?fb_expo_id=421283541822382090,无,满五年,有电梯,五至六环,2020-05-01,商品房,2011-08-05,普通住宅,满五年,非共有,无抵押
101109336532,探矿家属院全朝阳小两居满五唯一,2室1厅,55.49m²,南,探矿家属院,通州,果园,中楼层,共6层,213,38386元/平,https://m.lianjia.com/bj/ershoufang/101109336532.html?fb_expo_id=421283541822382091,无,满五年,无,五至六环,2020-09-27,已购公房,1995-05-10,普通住宅,满五年,非共有,无抵押
101110246738,北区全南 视野开阔 满五年唯一 采光充足 交通便利,2室1厅,98.36m²,南,远洋山水,石景山,鲁谷,高楼层,共26层,698,70964元/平,https://m.lianjia.com/bj/ershoufang/101110246738.html?fb_expo_id=421283541822382092,无,满五年,有电梯,四至五环,2021-01-03,商品房,2016-01-11,普通住宅,满五年,非共有,无抵押
